,ds,yhat,yhat_lower,yhat_upper,y,current_date,fastest_growth_day,growth_stabilized,current_day,cap
0,2020-03-07,22.75507779893673,-12.916459844089522,56.686825186762775,8.0,2020-04-05,24.782517682191163,True,30,1851.9349784770786
1,2020-03-08,13.607409610357145,-19.01368719209826,46.38186048793406,12.0,2020-04-05,24.782517682191163,True,30,1851.9349784770786
2,2020-03-09,4.098338478196027,-31.384067587217835,39.57399075251883,12.0,2020-04-05,24.782517682191163,True,30,1851.9349784770786
3,2020-03-10,45.27424259696933,14.340199974516306,77.36880019412692,17.0,2020-04-05,24.782517682191163,True,30,1851.9349784770786
4,2020-03-11,3.180094016748516,-30.461095278356446,34.930733704849004,19.0,2020-04-05,24.782517682191163,True,30,1851.9349784770786
5,2020-03-12,9.195423435893133,-25.646356957710555,43.95685149449956,19.0,2020-04-05,24.782517682191163,True,30,1851.9349784770786
6,2020-03-13,26.715027872477542,-5.826761734871499,61.334825765673656,31.0,2020-04-05,24.782517682191163,True,30,1851.9349784770786
7,2020-03-14,54.789823396247776,20.15971191643271,90.38757237421335,34.0,2020-04-05,24.782517682191163,True,30,1851.9349784770786
8,2020-03-15,53.712511106455274,18.922847377339153,89.09174459132379,45.0,2020-04-05,24.782517682191163,True,30,1851.9349784770786
9,2020-03-16,54.2209470497806,19.294393616314384,84.99294996988453,56.0,2020-04-05,24.782517682191163,True,30,1851.9349784770786
10,2020-03-17,107.7830280984405,72.27750907003568,141.74531039794257,68.0,2020-04-05,24.782517682191163,True,30,1851.9349784770786
11,2020-03-18,80.92971739163394,45.2545242215236,114.72335972225136,79.0,2020-04-05,24.782517682191163,True,30,1851.9349784770786
12,2020-03-19,105.58571804799251,71.26727926183797,139.33627035977446,97.0,2020-04-05,24.782517682191163,True,30,1851.9349784770786
13,2020-03-20,145.73444067567323,111.05826102688559,179.8036599097019,128.0,2020-04-05,24.782517682191163,True,30,1851.9349784770786
14,2020-03-21,201.02767479602744,164.45945685863606,234.04782073013234,158.0,2020-04-05,24.782517682191163,True,30,1851.9349784770786
15,2020-03-22,232.31903394270586,197.2439608945566,269.5476864222284,266.0,2020-04-05,24.782517682191163,True,30,1851.9349784770786
16,2020-03-23,270.7890226972098,236.82790129934972,305.49855878810797,301.0,2020-04-05,24.782517682191163,True,30,1851.9349784770786
17,2020-03-24,368.12321987058044,336.48293935637287,404.8089925194598,387.0,2020-04-05,24.782517682191163,True,30,1851.9349784770786
18,2020-03-25,390.71383682496815,359.26746857888656,424.725837141414,387.0,2020-04-05,24.782517682191163,True,30,1851.9349784770786
19,2020-03-26,469.84748073947526,434.203212694324,502.0609730501609,502.0,2020-04-05,24.782517682191163,True,30,1851.9349784770786
20,2020-03-27,568.2414738328898,533.236543509176,600.3487699297661,589.0,2020-04-05,24.782517682191163,True,30,1851.9349784770786
21,2020-03-28,683.5764044399592,649.7665087036667,718.7561809946084,690.0,2020-04-05,24.782517682191163,True,30,1851.9349784770786
22,2020-03-29,774.0459892367846,741.3751943148815,805.7226679590324,745.0,2020-04-05,24.782517682191163,True,30,1851.9349784770786
23,2020-03-30,867.6256085610846,832.8707341341344,901.1980095991765,820.0,2020-04-05,24.782517682191163,True,30,1851.9349784770786
24,2020-03-31,1012.5299541608875,981.4733985164402,1043.1290392297833,1054.0,2020-04-05,24.782517682191163,True,30,1851.9349784770786
25,2020-04-01,1071.8028851837223,1039.013153827931,1108.2338574247933,1054.0,2020-04-05,24.782517682191163,True,30,1851.9349784770786
26,2020-04-02,1173.9393931338398,1141.4110924462934,1206.5641194003426,1133.0,2020-04-05,24.782517682191163,True,30,1851.9349784770786
27,2020-04-03,1279.8176001657753,1244.3925428421994,1313.9214196290798,1265.0,2020-04-05,24.782517682191163,True,30,1851.9349784770786
28,2020-04-04,1386.5054289883278,1353.5715822369773,1420.2729979809887,1451.0,2020-04-05,24.782517682191163,True,30,1851.9349784770786
29,2020-04-05,1452.9038351845197,1418.408482046431,1485.547867663781,1451.0,2020-04-05,24.782517682191163,True,30,1851.9349784770786
30,2020-04-06,1508.9076468719015,1474.019923876772,1541.9228430774156,,2020-04-05,24.782517682191163,True,30,1851.9349784770786
